district_id,active_shop_count,unique_trade_names,naics_diversity,median_license_start_year,district_level
98105,15,15,15,2022.0,zip5
98004,12,12,11,2025.0,zip5
98052,9,9,9,2022.0,zip5
98188,7,7,7,2023.0,zip5
98122,6,6,6,2024.5,zip5
98104,5,5,5,2022.0,zip5
98101,4,4,4,2025.0,zip5
98109,4,4,4,2025.0,zip5
98034,4,4,3,2021.0,zip5
98032,4,4,4,2020.0,zip5
98033,4,4,4,2021.5,zip5
98116,3,3,3,2023.0,zip5
98003,3,3,3,2023.0,zip5
98027,3,3,3,2024.0,zip5
98042,3,3,3,2023.0,zip5
98106,3,3,3,2023.0,zip5
98057,3,3,3,2023.0,zip5
98007,3,3,3,2023.0,zip5
98102,3,3,3,2022.0,zip5
98108,2,2,2,2022.0,zip5
98125,2,2,2,2023.5,zip5
98107,2,2,2,2014.5,zip5
98133,2,2,2,2025.0,zip5
98103,2,2,2,2022.5,zip5
98002,2,2,2,2022.5,zip5
98008,2,2,2,2021.0,zip5
98059,2,2,2,2022.5,zip5
98005,2,2,2,2024.5,zip5
98055,2,2,2,2023.0,zip5
98040,2,2,2,2024.0,zip5
98072,2,2,2,2021.5,zip5
98074,1,1,1,2022.0,zip5
98198,1,1,1,2023.0,zip5
98166,1,1,1,2021.0,zip5
98158,1,1,1,2023.0,zip5
98134,1,1,1,2025.0,zip5
98006,1,1,1,2025.0,zip5
98126,1,1,1,2022.0,zip5
98118,1,1,1,2022.0,zip5
98011,1,1,1,2025.0,zip5
98121,1,1,1,2020.0,zip5
98028,1,1,1,2020.0,zip5
98115,1,1,1,2022.0,zip5
98112,1,1,1,2025.0,zip5
98030,1,1,1,2019.0,zip5
98056,1,1,1,2021.0,zip5
98058,1,1,1,2024.0,zip5
98199,1,1,1,2021.0,zip5
